rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,It fit our 2012 Chevy Colorado perfect!,Item came as described! It fit our 2012 Chevy Colorado perfect!,[],B01LZA8SGZ,B0BV88374L,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1513092936205,0,True
5.0,Easy to put on!!,Ease of application process. Clean area with rubbing alcohol.  Make sure that its dry and clean.  Peel off adhesive products safety products and line up for applications. Stick to the truck and apply pressure to make sure you have it securely on the vehicle.,[],B0B2WGS5ND,B0B2WGS5ND,AFE337D2J37YRU5U6MVTVKNDKWDA,1659124303053,0,True
5.0,Perfect,"Nice quality, framed in silver. I used for wall decoration and worked great. Wish I could find in 5&#34;, 6&#34;, 7&#34; sizes to complete my design. Up for almost a month and still sticking.",[],B00A0GV20Q,B00A0GV20Q,AEVWAM3YWN5URJVJIZZ6XPD2MKIA,1388666735000,0,True
2.0,Not waterproof,"Description said it is waterproof, it is NOT waterproof! Waste of money.",[],B08C27WWVG,B08C27WWVG,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1651801619265,0,True
5.0,Very nice,Looks great on my son’s 370Z,[],B0719J5ZNY,B0719J5ZNY,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1574097084236,0,True
5.0,Works well,Really helps to control older and disintegrate  toilet paper in the RV tank,[],B0006GF5SK,B0C2Z1WDGW,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1560014006319,0,True
5.0,Easy installation. Good contact. Squeaky clean!,"Arrived and packaged as expected. Fit my 2006 Scion Xb perfectly. Installation was a snap. They have been very smooth, clean and quiet.",[],B00496GUC8,B00496GUC8,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1438268118000,0,True
5.0,2013 Odyssey. Perfect fit. Near identical replacement.,"I found my light slightly damaged within the first week of purchasing...ouch!  I checked the dealer for pricing double ouch!  It wasn't leaking nor was it very obvious since the crack was on the clear indicator portion, so I thought I'd wait until I could afford something less expensive.  I discovered these and was extremely skeptical; especially about the color, since the OEM on-line images visibly seemed a much deeper red.  Nonetheless I finally decided to give this item a try for my 2013 Oddy...2 quick screws and the old lens were removed.  The item arrived nicely packaged, and included 2 new bulbs, I disconnected the wire connections with a slight squeeze, snapped them into the new lens, pushed slightly into place, attached the 2 screws and that was it.  I then checked brake and park lights...the whole thing took 3 minutes.  There was no discernable color difference.  Happy at the price, shipping, packaging, and most importantly the match to the vehicle.  Loved the fact that there was a little note on the screen before ordering that it will &#34;fit my 2013 Odyssey.&#34;",[],B008ESJX58,B01960CIB8,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1438049657000,1,True
1.0,Wrong size don’t buy!,This product did not fit like it said it would.,[],B07XF3R82L,B07XF3R82L,AERGOXGAFZ2J3ZMHXVLZQGTW36RA,1618857584664,0,True
5.0,Good purchase,We have these in all our cars and find them helpful!,[],B00VMVWAW2,B00VMVWAW2,AFVNEEPDEIH5SPUN5BWC6NKL3WNQ,1580484465419,0,True
