rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
4.0,No white background! It’s clear!,I bought this bc I thought it had the nice white background. Turns out it’s clear & since my phone is blue it doesn’t look anything like this.  If I had known that I would have purchased something else. It works ok.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1PrCo7ZjXS._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1PrCo7ZjXS._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/B1PrCo7ZjXS._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08L6L3X1S,B08L6L3X1S,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1612044451196,0,True
5.0,Awesome!  Great price!  Works well!,Perfect. How pissed am I that I recently paid $20 for 1 Fitbit cable and promptly lost the damned thing?  Extremely pissed!  I keep the spare in my medicine bag so hopefully I won’t lose it and my grandson can’t get to it and try to use it as a belt or a dog leash or any of the other nutty things he’s been using the other one for.,[],B079BPGF6C,B079BPGF6C,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1534443517349,2,True
5.0,Worked but took an hour to install,Overall very happy with the end result. If you hate puzzles don’t do it. I love puzzles and it worked for me. Took a lot of concentration and attention to detail and about an hour! The YouTube video helped a ton with installing the new screen. Highly recommend using a how to video when replacing your screen. The tools and supplies they provided were adequate. I did use additional tools from my home to successfully installed a new screen. My screws on the inside of the iPhone were stuck and I had to use an X-Acto knife to get them to come out. The glass Screen for the iPhone was beautiful and worked great. The screen protector that was additional came cracked (Not a big deal as it was extra in my eyes). I did need to use the X-Acto knife to cut off part of a plastic piece to make the final fit. So yes I modified the screen and instructions but ended up working great for me.<br /><br />I was very careful with all of the circuit boards and connections as recommended on the YouTube video. My screen replacement was very successful and I’m very happy with how it turned out.,"[{'small_image_url': 'https://m.media-amazon.com/images/I/B1+g-o0qHKS._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/B1+g-o0qHKS._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/B1+g-o0qHKS._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B088DR7Z5B,B0BBGGC8F2,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1629235304798,3,True
4.0,Decent,Lasted about 9 months then the lock button broke off. Decent product but costing scrapes off like crazy.  I shredded this case. Protected my phone tho,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71RgHzZnX3L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71RgHzZnX3L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71RgHzZnX3L.jpg', 'attachment_type': 'IMAGE'}]",B07XRDHDNQ,B07XRDHDNQ,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1590470082910,0,True
5.0,LOVE IT!,LOVE THIS CASE! Works better than my expensive $35 cases! lol,[],B00A8ZDL9Y,B00A8ZDL9Y,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1408994588000,0,True
5.0,Works Great with my IPhone 13 & Magna Case!,This item works great with my IPhone 13 with Magna Case on it. Also charges my Apple watch & IPods all at the same time. No issues at all. Fast shipping was great! On of the best chargers I have owned.,[],B09KH3Z9MF,B0BX2GG16C,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1646753573910,0,True
5.0,Great item! Easy to install!,Item came as described! Fast shipping & east to install!,[],B09DCSNDT3,B09DCT39P2,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1644932513079,0,True
4.0,Four Stars,Stocking stuffers for my boys & they liked them.,[],B00UKXP6Y2,B07CKPPSB4,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1485870336000,0,True
5.0,It is a great value & protects the phone from the normal wear ...,My son loves his camo case! It is a great value & protects the phone from the normal wear & tear of a pre teen!,[],B00W3C3ISY,B00W3C3ISY,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1461331211000,0,True
5.0,Good to have these around!,"These work. It is a little difficult to get the yellow side off the sticky but, otherwise a great product!",[],B07NPMQPS9,B07NPMQPS9,AGKHLEW2SOWHNMFQIJGBECAF7INQ,1557757311964,0,True
